"time","group","sim","state","value"
1,1,1,"S",0.995
2,1,1,"S",0.993
3,1,1,"S",0.992
4,1,1,"S",0.992
5,1,1,"S",0.991
6,1,1,"S",0.99
7,1,1,"S",0.987
8,1,1,"S",0.984
9,1,1,"S",0.979
10,1,1,"S",0.976
11,1,1,"S",0.973
12,1,1,"S",0.966
13,1,1,"S",0.964
14,1,1,"S",0.957
15,1,1,"S",0.951
16,1,1,"S",0.943
17,1,1,"S",0.933
18,1,1,"S",0.923
19,1,1,"S",0.918
20,1,1,"S",0.906
21,1,1,"S",0.889
22,1,1,"S",0.873
23,1,1,"S",0.86
24,1,1,"S",0.844
25,1,1,"S",0.823
26,1,1,"S",0.799
27,1,1,"S",0.775
28,1,1,"S",0.745
29,1,1,"S",0.721
30,1,1,"S",0.688
31,1,1,"S",0.659
32,1,1,"S",0.627
33,1,1,"S",0.601
34,1,1,"S",0.555
35,1,1,"S",0.522
36,1,1,"S",0.492
37,1,1,"S",0.469
38,1,1,"S",0.432
39,1,1,"S",0.4
40,1,1,"S",0.366
41,1,1,"S",0.331
42,1,1,"S",0.307
43,1,1,"S",0.277
44,1,1,"S",0.252
45,1,1,"S",0.247
46,1,1,"S",0.241
47,1,1,"S",0.224
48,1,1,"S",0.207
49,1,1,"S",0.192
50,1,1,"S",0.187
51,1,1,"S",0.179
52,1,1,"S",0.171
53,1,1,"S",0.165
54,1,1,"S",0.164
55,1,1,"S",0.169
56,1,1,"S",0.161
57,1,1,"S",0.161
58,1,1,"S",0.169
59,1,1,"S",0.165
60,1,1,"S",0.175
61,1,1,"S",0.17
62,1,1,"S",0.166
63,1,1,"S",0.152
64,1,1,"S",0.154
65,1,1,"S",0.158
66,1,1,"S",0.148
67,1,1,"S",0.154
68,1,1,"S",0.159
69,1,1,"S",0.172
70,1,1,"S",0.175
71,1,1,"S",0.172
72,1,1,"S",0.17
73,1,1,"S",0.173
74,1,1,"S",0.172
75,1,1,"S",0.174
76,1,1,"S",0.177
77,1,1,"S",0.174
78,1,1,"S",0.172
79,1,1,"S",0.167
80,1,1,"S",0.167
1,1,1,"I",0.005
2,1,1,"I",0.006
3,1,1,"I",0.007
4,1,1,"I",0.007
5,1,1,"I",0.008
6,1,1,"I",0.009
7,1,1,"I",0.012
8,1,1,"I",0.015
9,1,1,"I",0.02
10,1,1,"I",0.023
11,1,1,"I",0.026
12,1,1,"I",0.031
13,1,1,"I",0.033
14,1,1,"I",0.039
15,1,1,"I",0.042
16,1,1,"I",0.049
17,1,1,"I",0.052
18,1,1,"I",0.06
19,1,1,"I",0.065
20,1,1,"I",0.072
21,1,1,"I",0.086
22,1,1,"I",0.102
23,1,1,"I",0.115
24,1,1,"I",0.132
25,1,1,"I",0.15
26,1,1,"I",0.169
27,1,1,"I",0.191
28,1,1,"I",0.209
29,1,1,"I",0.236
30,1,1,"I",0.265
31,1,1,"I",0.292
32,1,1,"I",0.318
33,1,1,"I",0.337
34,1,1,"I",0.366
35,1,1,"I",0.385
36,1,1,"I",0.42
37,1,1,"I",0.439
38,1,1,"I",0.481
39,1,1,"I",0.502
40,1,1,"I",0.52
41,1,1,"I",0.542
42,1,1,"I",0.556
43,1,1,"I",0.581
44,1,1,"I",0.595
45,1,1,"I",0.588
46,1,1,"I",0.594
47,1,1,"I",0.601
48,1,1,"I",0.61
49,1,1,"I",0.618
50,1,1,"I",0.618
51,1,1,"I",0.604
52,1,1,"I",0.606
53,1,1,"I",0.605
54,1,1,"I",0.606
55,1,1,"I",0.593
56,1,1,"I",0.602
57,1,1,"I",0.602
58,1,1,"I",0.593
59,1,1,"I",0.601
60,1,1,"I",0.589
61,1,1,"I",0.59
62,1,1,"I",0.596
63,1,1,"I",0.596
64,1,1,"I",0.588
65,1,1,"I",0.586
66,1,1,"I",0.596
67,1,1,"I",0.583
68,1,1,"I",0.585
69,1,1,"I",0.582
70,1,1,"I",0.586
71,1,1,"I",0.581
72,1,1,"I",0.579
73,1,1,"I",0.581
74,1,1,"I",0.586
75,1,1,"I",0.59
76,1,1,"I",0.588
77,1,1,"I",0.583
78,1,1,"I",0.579
79,1,1,"I",0.58
80,1,1,"I",0.588
1,1,1,"R",0
2,1,1,"R",0.001
3,1,1,"R",0.001
4,1,1,"R",0.001
5,1,1,"R",0.001
6,1,1,"R",0.001
7,1,1,"R",0.001
8,1,1,"R",0.001
9,1,1,"R",0.001
10,1,1,"R",0.001
11,1,1,"R",0.001
12,1,1,"R",0.003
13,1,1,"R",0.003
14,1,1,"R",0.004
15,1,1,"R",0.007
16,1,1,"R",0.008
17,1,1,"R",0.015
18,1,1,"R",0.017
19,1,1,"R",0.017
20,1,1,"R",0.022
21,1,1,"R",0.025
22,1,1,"R",0.025
23,1,1,"R",0.025
24,1,1,"R",0.024
25,1,1,"R",0.027
26,1,1,"R",0.032
27,1,1,"R",0.034
28,1,1,"R",0.046
29,1,1,"R",0.043
30,1,1,"R",0.047
31,1,1,"R",0.049
32,1,1,"R",0.055
33,1,1,"R",0.062
34,1,1,"R",0.079
35,1,1,"R",0.093
36,1,1,"R",0.088
37,1,1,"R",0.092
38,1,1,"R",0.087
39,1,1,"R",0.098
40,1,1,"R",0.114
41,1,1,"R",0.127
42,1,1,"R",0.137
43,1,1,"R",0.142
44,1,1,"R",0.153
45,1,1,"R",0.165
46,1,1,"R",0.165
47,1,1,"R",0.175
48,1,1,"R",0.183
49,1,1,"R",0.19
50,1,1,"R",0.195
51,1,1,"R",0.217
52,1,1,"R",0.223
53,1,1,"R",0.23
54,1,1,"R",0.23
55,1,1,"R",0.238
56,1,1,"R",0.237
57,1,1,"R",0.237
58,1,1,"R",0.238
59,1,1,"R",0.234
60,1,1,"R",0.236
61,1,1,"R",0.24
62,1,1,"R",0.238
63,1,1,"R",0.252
64,1,1,"R",0.258
65,1,1,"R",0.256
66,1,1,"R",0.256
67,1,1,"R",0.263
68,1,1,"R",0.256
69,1,1,"R",0.246
70,1,1,"R",0.239
71,1,1,"R",0.247
72,1,1,"R",0.251
73,1,1,"R",0.246
74,1,1,"R",0.242
75,1,1,"R",0.236
76,1,1,"R",0.235
77,1,1,"R",0.243
78,1,1,"R",0.249
79,1,1,"R",0.253
80,1,1,"R",0.245
1,1,1,"incidence",0
2,1,1,"incidence",0
3,1,1,"incidence",0
4,1,1,"incidence",0
5,1,1,"incidence",0
6,1,1,"incidence",0
7,1,1,"incidence",0
8,1,1,"incidence",1
9,1,1,"incidence",0
10,1,1,"incidence",0
11,1,1,"incidence",1
12,1,1,"incidence",1
13,1,1,"incidence",0
14,1,1,"incidence",1
15,1,1,"incidence",2
16,1,1,"incidence",1
17,1,1,"incidence",0
18,1,1,"incidence",0
19,1,1,"incidence",2
20,1,1,"incidence",0
21,1,1,"incidence",0
22,1,1,"incidence",0
23,1,1,"incidence",1
24,1,1,"incidence",4
25,1,1,"incidence",2
26,1,1,"incidence",3
27,1,1,"incidence",3
28,1,1,"incidence",3
29,1,1,"incidence",3
30,1,1,"incidence",0
31,1,1,"incidence",7
32,1,1,"incidence",5
33,1,1,"incidence",3
34,1,1,"incidence",4
35,1,1,"incidence",3
36,1,1,"incidence",2
37,1,1,"incidence",4
38,1,1,"incidence",3
39,1,1,"incidence",3
40,1,1,"incidence",6
41,1,1,"incidence",4
42,1,1,"incidence",1
43,1,1,"incidence",2
44,1,1,"incidence",2
45,1,1,"incidence",2
46,1,1,"incidence",1
47,1,1,"incidence",3
48,1,1,"incidence",4
49,1,1,"incidence",6
50,1,1,"incidence",3
51,1,1,"incidence",1
52,1,1,"incidence",1
53,1,1,"incidence",3
54,1,1,"incidence",2
55,1,1,"incidence",1
56,1,1,"incidence",2
57,1,1,"incidence",2
58,1,1,"incidence",1
59,1,1,"incidence",3
60,1,1,"incidence",1
61,1,1,"incidence",1
62,1,1,"incidence",4
63,1,1,"incidence",3
64,1,1,"incidence",2
65,1,1,"incidence",3
66,1,1,"incidence",2
67,1,1,"incidence",0
68,1,1,"incidence",3
69,1,1,"incidence",1
70,1,1,"incidence",1
71,1,1,"incidence",3
72,1,1,"incidence",2
73,1,1,"incidence",0
74,1,1,"incidence",2
75,1,1,"incidence",1
76,1,1,"incidence",0
77,1,1,"incidence",0
78,1,1,"incidence",1
79,1,1,"incidence",3
80,1,1,"incidence",0
1,1,2,"S",0.995
2,1,2,"S",0.992
3,1,2,"S",0.992
4,1,2,"S",0.991
5,1,2,"S",0.988
6,1,2,"S",0.987
7,1,2,"S",0.984
8,1,2,"S",0.978
9,1,2,"S",0.973
10,1,2,"S",0.965
11,1,2,"S",0.96
12,1,2,"S",0.951
13,1,2,"S",0.936
14,1,2,"S",0.931
15,1,2,"S",0.924
16,1,2,"S",0.913
17,1,2,"S",0.903
18,1,2,"S",0.887
19,1,2,"S",0.867
20,1,2,"S",0.853
21,1,2,"S",0.832
22,1,2,"S",0.812
23,1,2,"S",0.786
24,1,2,"S",0.765
25,1,2,"S",0.744
26,1,2,"S",0.715
27,1,2,"S",0.682
28,1,2,"S",0.652
29,1,2,"S",0.629
30,1,2,"S",0.597
31,1,2,"S",0.557
32,1,2,"S",0.52
33,1,2,"S",0.483
34,1,2,"S",0.449
35,1,2,"S",0.411
36,1,2,"S",0.37
37,1,2,"S",0.332
38,1,2,"S",0.305
39,1,2,"S",0.275
40,1,2,"S",0.262
41,1,2,"S",0.24
42,1,2,"S",0.225
43,1,2,"S",0.22
44,1,2,"S",0.21
45,1,2,"S",0.208
46,1,2,"S",0.202
47,1,2,"S",0.199
48,1,2,"S",0.188
49,1,2,"S",0.183
50,1,2,"S",0.161
51,1,2,"S",0.163
52,1,2,"S",0.151
53,1,2,"S",0.158
54,1,2,"S",0.159
55,1,2,"S",0.157
56,1,2,"S",0.158
57,1,2,"S",0.167
58,1,2,"S",0.171
59,1,2,"S",0.173
60,1,2,"S",0.173
61,1,2,"S",0.167
62,1,2,"S",0.169
63,1,2,"S",0.165
64,1,2,"S",0.176
65,1,2,"S",0.167
66,1,2,"S",0.157
67,1,2,"S",0.151
68,1,2,"S",0.165
69,1,2,"S",0.173
70,1,2,"S",0.175
71,1,2,"S",0.183
72,1,2,"S",0.179
73,1,2,"S",0.171
74,1,2,"S",0.168
75,1,2,"S",0.162
76,1,2,"S",0.164
77,1,2,"S",0.166
78,1,2,"S",0.159
79,1,2,"S",0.173
80,1,2,"S",0.166
1,1,2,"I",0.005
2,1,2,"I",0.008
3,1,2,"I",0.008
4,1,2,"I",0.009
5,1,2,"I",0.011
6,1,2,"I",0.012
7,1,2,"I",0.015
8,1,2,"I",0.021
9,1,2,"I",0.026
10,1,2,"I",0.034
11,1,2,"I",0.039
12,1,2,"I",0.046
13,1,2,"I",0.057
14,1,2,"I",0.06
15,1,2,"I",0.067
16,1,2,"I",0.074
17,1,2,"I",0.083
18,1,2,"I",0.097
19,1,2,"I",0.115
20,1,2,"I",0.125
21,1,2,"I",0.143
22,1,2,"I",0.161
23,1,2,"I",0.187
24,1,2,"I",0.205
25,1,2,"I",0.22
26,1,2,"I",0.242
27,1,2,"I",0.263
28,1,2,"I",0.286
29,1,2,"I",0.305
30,1,2,"I",0.329
31,1,2,"I",0.363
32,1,2,"I",0.397
33,1,2,"I",0.428
34,1,2,"I",0.453
35,1,2,"I",0.482
36,1,2,"I",0.512
37,1,2,"I",0.542
38,1,2,"I",0.558
39,1,2,"I",0.577
40,1,2,"I",0.585
41,1,2,"I",0.587
42,1,2,"I",0.585
43,1,2,"I",0.583
44,1,2,"I",0.583
45,1,2,"I",0.583
46,1,2,"I",0.584
47,1,2,"I",0.586
48,1,2,"I",0.59
49,1,2,"I",0.582
50,1,2,"I",0.591
51,1,2,"I",0.586
52,1,2,"I",0.581
53,1,2,"I",0.578
54,1,2,"I",0.583
55,1,2,"I",0.584
56,1,2,"I",0.583
57,1,2,"I",0.575
58,1,2,"I",0.574
59,1,2,"I",0.573
60,1,2,"I",0.573
61,1,2,"I",0.58
62,1,2,"I",0.585
63,1,2,"I",0.592
64,1,2,"I",0.589
65,1,2,"I",0.595
66,1,2,"I",0.594
67,1,2,"I",0.592
68,1,2,"I",0.583
69,1,2,"I",0.581
70,1,2,"I",0.588
71,1,2,"I",0.583
72,1,2,"I",0.583
73,1,2,"I",0.587
74,1,2,"I",0.587
75,1,2,"I",0.584
76,1,2,"I",0.586
77,1,2,"I",0.577
78,1,2,"I",0.582
79,1,2,"I",0.578
80,1,2,"I",0.58
1,1,2,"R",0
2,1,2,"R",0
3,1,2,"R",0
4,1,2,"R",0
5,1,2,"R",0.001
6,1,2,"R",0.001
7,1,2,"R",0.001
8,1,2,"R",0.001
9,1,2,"R",0.001
10,1,2,"R",0.001
11,1,2,"R",0.001
12,1,2,"R",0.003
13,1,2,"R",0.007
14,1,2,"R",0.009
15,1,2,"R",0.009
16,1,2,"R",0.013
17,1,2,"R",0.014
18,1,2,"R",0.016
19,1,2,"R",0.018
20,1,2,"R",0.022
21,1,2,"R",0.025
22,1,2,"R",0.027
23,1,2,"R",0.027
24,1,2,"R",0.03
25,1,2,"R",0.036
26,1,2,"R",0.043
27,1,2,"R",0.055
28,1,2,"R",0.062
29,1,2,"R",0.066
